pid,starttime,endtime,duration,recordeddate,commitment,firstclick,lastclick,pagesubmit,clickcount,browser,browser_version,os,resolution,phoneos,phoneos_othertext,devicelock,unlock_parents,unlock_spouse,unlock_siblings,unlock_friends,unlock_children,unlock_otherfamily,unlock_colleagues,unlock_strangers,unlock_noone,unlock_others,unlock_otherstext,numbernotifications,checkfrequency,checkfrequencytext,screenwakeup,dnd,silent,turnoff,airplane,notificationapps,modeusereasons,view_home,view_meetings,view_classes,view_seminars,view_cafes,view_gatherings,view_stores,view_transport,view_others,view_otherstext,share_spouse,share_siblings,share_parents,share_children,share_friends,share_colleagues,share_strangers,share_reason,share_notallow,share_nothing,share_closeapps,share_clear,share_guestmode,share_applock,share_accessibility,share_watchuse,share_checkapps,share_other,share_othertext,clear_spouse,clear_siblings,clear_parents,clear_children,clear_friends,clear_colleagues,clear_strangers,lastnotificationapp,lnandroid_lockscreen,lnandroid_drawer,lnandroid_floating,lnandroid_appbadge,lnandroid_dontknow,lnandroid_other,lnandroid_othertext,lnios_lockscreen,lnios_notificationcenter,lnios_permbanner,lnios_tempbanner,lnios_appbadge,lnios_dontknow,lnios_other,lnios_othertext,ln_addresstime,ln_addresstimetext,lnaction_readpreview,lnaction_readcontent,lnaction_clearlockscreen,lnaction_clearcenter,lnaction_address,lnaction_nothing,lnaction_preventfurther,lnaction_other,lnaction_preventfurthertext,lnaction_othertext,ln_selfconcern,ln_selfconcerntext,ln_othersinfo,ln_othersinfotext,ln_othersconcern,negativeexperiences,negativeexperiencestext,nereason_shared,nereason_unlocked,nereason_notsilenced,nereason_screencast,nereason_sensitive,nereason_other,nereason_sensitivetext,nereason_othertext,appconcernfamily_im,appconcernfamily_social,appconcernfamily_calendar,appconcernfamily_email,appconcernfamily_banking,appconcernfamily_health,appconcernfamily_dating,appconcernfamily_reason,appconcerncolleague_im,appconcerncolleague_social,appconcerncolleague_calendar,appconcerncolleague_email,appconcerncolleague_banking,appconcerncolleague_health,appconcerncolleague_dating,appconcerncolleague_reason,applock_im,applock_social,applock_calendar,applock_email,applock_banking,applock_health,applock_dating,applock_work,applock_travel,applock_none,android_lockscreen,ios_preview,preview_im,preview_social,preview_calendar,preview_email,preview_banking,preview_work,preview_travel,preview_health,preview_dating,muipc_location,muipc_collectinfo,muipc_monitor,muipc_othersknow,muipc_privateinfo,muipc_privacyinvasion,gdd_1,gdd_2,gdd_3,gdd_4,gdd_5,birthyear,gender,gendertext,ethnicity_nativeamerican,ethnicity_asian,ethnicity_black,ethnicity_pi,ethnicity_white,ethnicity_hispanic,ethnicity_other,ethnicity_nosay,ethnicity_othertext,education,educationtext,employment_full,employment_part,employment_looking,employment_notlooking,employment_homemaker,employment_student,employment_retired,employment_disabled,employment_other,employment_nosay,employment_othertext,profession,fieldofstudy,income,yearsinusa,householdsize,marital,maritaltext,comments,attentioncheck1,attentioncheck1text,attentioncheck2
177,27/11/20 0:30,27/11/20 0:44,834,27/11/20 0:44,I will provide my best answers.,11.542,11.542,14.631,1,Chrome,87.0.4280.66,Windows NT 10.0,1366x768,iOS (iPhone),NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 30 minutes,NA,Always,0,1,0,0,1,NA,Once a day,Once a day,Few times a month,Few times a week,Few times a week,Few times a week,Once a day,Few times a week,Never,Nobody,Multiple times a day,Once a day,Few times a week,Less than once a week,Multiple times a week,Multiple times a week,Never,NA,NA,NA,NA,Clear notifications,NA,NA,NA,Watch over the other person's use of the phone,NA,NA,NA,Sometimes,Rarely,Sometimes,Always,Sometimes,Sometimes,Always,Whats app,NA,NA,NA,NA,NA,NA,NA,Lock Screen,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,NA,NA,Cleared it from the phone lock screen,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,NA,Yes,NA,Extremely concerned,3-5,Not to share,NA,I left the phone screen unlocked.,NA,NA,NA,NA,NA,NA,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,I had already given my opinions.,Somwhat concerned,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat concerned,NA,NA,Social media,NA,NA,NA,NA,NA,NA,NA,NA,NA,When unlocked,When unlocked,Notification disabled,Never,Notification disabled,When unlocked,When unlocked,Never,When unlocked,Never,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Rather disagree,"Neither disagree, neither agree","Neither disagree, neither agree","Neither disagree, neither agree","Neither disagree, neither agree",1984,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Online Marketing,NA,"$20,000 to $29,999",More than 10 or All my life,4,Married,NA,N/A,Translate,NA,Somewhat agree
178,27/11/20 12:08,27/11/20 12:23,916,27/11/20 12:23,I will provide my best answers.,72.1,72.1,122.8,1,Chrome,86.0.4240.111,Windows NT 6.1,1366x768,Android,NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 1 hour,NA,Sometimes,8,8,2,0,1,NA,Few times a month,Never,Never,Never,Never,Never,Never,Never,Never,NA,Less than once a week,Never,Never,Never,Never,Never,Never,NA,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,facebook,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,Read the notification preview (title),NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,NA,No,NA,NA,1-2,notification sound was disturb to all,I had given my phone to another person when the notification arrived.,I left the phone screen unlocked.,I forgot to take appropriate actions to silence the notification.,NA,NA,NA,NA,NA,Somwhat concerned,Somwhat concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,NA,Somwhat concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Somwhat concerned,NA,Instant messaging,Social media,NA,E-mail,Banking and payments,NA,NA,NA,Travel and navigation,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree,Rather disagree,"Neither disagree, neither agree","Neither disagree, neither agree","Neither disagree, neither agree",1985,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,administrator,NA,"$60,000 to $69,999",More than 10 or All my life,6,Married,NA,none,Translate,NA,Somewhat agree
179,27/11/20 13:13,27/11/20 13:29,986,27/11/20 13:29,I will provide my best answers.,2.411,2.411,3.671,1,Chrome,87.0.4280.66,Windows NT 10.0,1366x768,iOS (iPhone),NA,Yes,Parents,Spouse,NA,Friends,NA,NA,NA,NA,NA,NA,NA,10 to 19,Once in about 15 minutes,NA,Sometimes,2,0,2,2,4,NA,Once a day,Once a day,Once a day,Once a day,Few times a week,Once a day,Few times a day,Few times a week,Never,NA,Multiple times a day,Once a day,Once a day,Few times a day,Few times a day,Once a day,Few times a day,NA,NA,NA,Close running applications,Clear notifications,Enable guest mode or second space,Enable app locks,NA,NA,NA,NA,NA,N/A,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,facebook,NA,NA,NA,NA,NA,NA,NA,Lock Screen,Notification Center,Banner (permanently),NA,NA,NA,NA,NA,within 5 minutes,NA,Read the notification preview (title),Read the notification content,Cleared it from the phone lock screen,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,Yes,NA,Extremely concerned,3-5,lost some information,NA,I left the phone screen unlocked.,NA,NA,NA,NA,NA,NA,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,Somwhat unconcerned,it's my opinion,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,NA,Instant messaging,Social media,Calendar,E-mail,Banking and payments,Health and fitness,NA,NA,NA,NA,NA,When unlocked,When unlocked,Never,Never,When unlocked,When unlocked,Never,Never,Never,Never,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Rather agree,Rather agree,Rather agree,"Neither disagree, neither agree","Neither disagree, neither agree",1987,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,superviser,NA,"$60,000 to $69,999",More than 10 or All my life,4,Married,NA,none,Translate,NA,Somewhat agree
180,27/11/20 13:44,27/11/20 13:53,503,27/11/20 13:53,I will provide my best answers.,13.493,21.55,24.451,3,Chrome,87.0.4280.66,Windows NT 6.3,1364x768,Android,NA,Yes,Parents,NA,Siblings,NA,NA,NA,NA,NA,NA,NA,NA,10 to 19,Once in about 30 minutes,NA,Sometimes,6,3,4,5,4,NA,Once a day,Few times a week,Few times a day,Few times a day,Few times a month,Once a day,Few times a week,Few times a week,Few times a week,gathering,Multiple times a day,Once a day,Few times a week,Few times a day,Multiple times a day,Once a day,N/A,NA,NA,NA,Close running applications,Clear notifications,NA,NA,Change accessibility settings,NA,NA,NA,NA,Always,Rarely,Always,Sometimes,Always,N/A,Always,youtube,Lock Screen,Notification drawer,NA,App Badge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 30 minutes,NA,Read the notification preview (title),Read the notification content,NA,NA,Opened the relevant app to address the notification,NA,NA,NA,NA,NA,Somewhat concerned,NA,No,NA,NA,3-5,"Digital technologies have made it more difficult for me to say on task and devote ... “Increased isolation is a negative effect I feel in my life; the time I spend using ... is starting very young, and we don't really know what the impact will be. ... I turn off just about every notification and I jealously guard against",I had given my phone to another person when the notification arrived.,NA,NA,"I was screencasting/projecting the device display to others (e.g., in a presentation) when the notification popped up on the screen.",NA,NA,NA,NA,Completely unconcerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,Somwhat concerned,NA,Neither concerned nor unconcerned,Completely unconcerned,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat unconcerned,Neither concerned nor unconcerned,Completely unconcerned,NA,NA,Social media,Calendar,E-mail,Banking and payments,NA,NA,NA,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat disagree,Agree,Rather agree,"Neither disagree, neither agree",Agree,Rather agree,"Neither disagree, neither agree",1995,Male,NA,American Indian or Native American,NA,NA,NA,NA,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data analysis,NA,"$90,000 to $99,999",More than 10 or All my life,3,Married,NA,good,Translate,NA,Somewhat agree
181,30/11/20 7:00,30/11/20 7:07,446,30/11/20 7:07,I will provide my best answers.,5.049,5.049,6.902,1,Chrome,86.0.4240.111,Windows NT 10.0,1366x768,Android,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No one,NA,NA,1 to 9,Once in about 5 minutes,NA,Sometimes,2,2,1,2,2,good,Once a day,Few times a week,Once a day,Once a day,Once a day,Once a day,Few times a week,Few times a week,Once a day,NA,Few times a day,Once a day,Few times a day,Few times a day,Once a day,Few times a day,Few times a day,good,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,facebook,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 30 minutes,NA,Read the notification preview (title),NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,good,Yes,NA,Somewhat concerned,1-2,nothing,NA,NA,I forgot to take appropriate actions to silence the notification.,NA,NA,NA,NA,NA,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat unconcerned,nothing else,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat unconcerned,good,NA,NA,Calendar,NA,NA,NA,NA,NA,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Rather agree,Rather agree,Agree,Rather agree,Agree,1987,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Master's degree,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,office work,NA,"$20,000 to $29,999",2,2,Married,NA,good,Translate,NA,Somewhat agree
182,30/11/20 7:00,30/11/20 7:09,579,30/11/20 7:09,I will provide my best answers.,1.762,1.762,3.627,1,Chrome,87.0.4280.66,Windows NT 10.0,1366x768,Android,NA,Yes,Parents,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 to 19,Once in about 15 minutes,NA,Always,0,5,0,1,20,NA,Few times a week,Few times a month,Few times a week,Few times a week,Once a day,Few times a day,Once a day,Once a day,Few times a week,NA,Multiple times a week,Few times a day,Multiple times a day,Multiple times a day,Multiple times a week,Once a day,Few times a day,NA,NA,NA,NA,Clear notifications,NA,NA,NA,NA,NA,NA,NA,Sometimes,Rarely,Always,N/A,Rarely,Sometimes,Sometimes,instagram,NA,NA,Floating notification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 30 minutes,NA,NA,NA,Cleared it from the phone lock screen,NA,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,NA,No,NA,NA,1-2,more notifications cannot like,NA,NA,I forgot to take appropriate actions to silence the notification.,NA,NA,NA,NA,NA,Somwhat unconcerned,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,Completely unconcerned,N/A,Somwhat unconcerned,not liking so much,Somwhat unconcerned,Somwhat unconcerned,Neither concerned nor unconcerned,Completely unconcerned,Somwhat unconcerned,N/A,Neither concerned nor unconcerned,NA,NA,NA,NA,E-mail,NA,NA,NA,Apps for work,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat agree,Disagree,Somewhat disagree,"Neither disagree, neither agree",Agree,Rather agree,Rather agree,"Neither disagree, neither agree",1984,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,engineer,NA,"$50,000 to $59,999",More than 10 or All my life,1,Married,NA,very good,Translate,NA,Somewhat agree
183,30/11/20 7:05,30/11/20 7:11,404,30/11/20 7:11,I will provide my best answers.,1.828,1.828,3.117,1,Chrome,86.0.4240.111,Windows NT 6.1,1280x1024,Android,NA,Yes,NA,NA,NA,Friends,NA,NA,NA,NA,NA,NA,NA,10 to 19,Once in about 30 minutes,NA,Most of the time,9,13,11,11,13,NA,Few times a week,Once a day,Once a day,Few times a week,Few times a month,Once a day,Few times a week,Once a day,Never,NA,Few times a day,Multiple times a day,Once a day,Few times a day,Once a day,Few times a day,Once a day,NA,NA,NA,NA,NA,NA,Enable app locks,Change accessibility settings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whatsapp,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,NA,Read the notification content,NA,NA,Opened the relevant app to address the notification,NA,NA,NA,NA,NA,Extremely concerned,NA,Yes,NA,Somewhat concerned,1-2,No,NA,NA,I forgot to take appropriate actions to silence the notification.,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,Completely unconcerned,Neither concerned nor unconcerned,Completely unconcerned,Somwhat unconcerned,Completely unconcerned,Neither concerned nor unconcerned,That was previous I'm not Tell Bouquet,Neither concerned nor unconcerned,N/A,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,NA,NA,NA,NA,E-mail,NA,NA,NA,NA,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Rather agree,Agree,Rather agree,Rather agree,Agree,1995,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT,NA,"$50,000 to $59,999",More than 10 or All my life,4,Married,NA,Yes,Translate,NA,Somewhat agree
184,30/11/20 7:06,30/11/20 7:14,465,30/11/20 7:14,I will provide my best answers.,1.483,1.483,3.073,1,Chrome,86.0.4240.198,Windows NT 6.1,1280x1024,Android,NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 or more,Whenever a notification is delivered,NA,Always,5,10,6,3,15,NA,Once a day,Few times a day,Few times a day,Once a day,Once a day,Few times a week,Once a day,Few times a month,Few times a month,NA,Multiple times a week,Multiple times a day,Few times a day,Multiple times a day,Few times a day,Once a day,Few times a day,NA,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,whatsapp,NA,NA,Floating notification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 24 hours,NA,Read the notification preview (title),NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,Yes,NA,Somewhat concerned,3-5,bad videos and photos,I had given my phone to another person when the notification arrived.,NA,NA,NA,NA,NA,NA,NA,Somwhat concerned,Extremely concerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,NA,Somwhat concerned,Extremely concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,NA,Instant messaging,NA,NA,E-mail,Banking and payments,NA,NA,Apps for work,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Rather agree,"Neither disagree, neither agree",Rather agree,Rather agree,Agree,1994,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Master's degree,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manager,NA,"$70,000 to $79,999",More than 10 or All my life,5,Married,NA,none,Translate,NA,Somewhat agree
185,30/11/20 7:04,30/11/20 7:21,1012,30/11/20 7:21,I will provide my best answers.,11.38,11.38,16.999,1,Chrome,86.0.4240.183,Windows NT 10.0,1024x768,Android,NA,Yes,Parents,Spouse,Siblings,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 6 hours,NA,Sometimes,0,1,0,5,0,NA,Few times a day,Never,Few times a day,Few times a month,Few times a month,Few times a week,Few times a day,Never,Never,job,Never,Less than once a week,Less than once a week,Never,Less than once a week,Never,Less than once a week,NA,NA,NA,Close running applications,Clear notifications,NA,NA,NA,NA,NA,NA,NA,Never,Rarely,Never,Rarely,Never,Never,Never,true caller,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,NA,Read the notification content,NA,Cleared it from the notification center/drawer,NA,NA,NA,NA,NA,NA,Completely unconcerned,NA,No,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,Extremely concerned,Extremely concerned,Somwhat concerned,Extremely concerned,Extremely concerned,N/A,regular  work,N/A,Extremely concerned,N/A,Extremely concerned,N/A,Somwhat concerned,N/A,NA,Instant messaging,Social media,NA,E-mail,NA,NA,NA,NA,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Rather agree,Rather agree,"Neither disagree, neither agree",Rather agree,"Neither disagree, neither agree",1986,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Master's degree,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,managing company,NA,"$40,000 to $49,999",More than 10 or All my life,4,Married,NA,nothing  but nice experience,Translate,NA,Somewhat agree
186,30/11/20 7:00,30/11/20 7:28,1703,30/11/20 7:28,I will provide my best answers.,14.738,14.738,425.609,1,Chrome,87.0.4280.66,Windows NT 10.0,1366x768,Android,NA,Yes,Parents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 to 29,Once in about 1 hour,NA,Sometimes,1,1,0,0,1,NA,Few times a day,Few times a week,Never,Few times a week,Once a day,Few times a day,Once a day,Once a day,Never,NA,Multiple times a day,Once a day,Multiple times a week,Once a day,Multiple times a day,Multiple times a day,Few times a day,None,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Browser,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 30 minutes,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,No,NA,NA,3-5,None,NA,NA,I forgot to take appropriate actions to silence the notification.,NA,NA,NA,NA,NA,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat unconcerned,Somwhat unconcerned,Neither concerned nor unconcerned,None,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat unconcerned,NA,NA,Social media,NA,NA,NA,NA,NA,NA,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Rather agree,Rather disagree,"Neither disagree, neither agree",Rather agree,"Neither disagree, neither agree",1971,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT,NA,"$60,000 to $69,999",More than 10 or All my life,4,Married,NA,None,Translate,NA,Somewhat agree
187,30/11/20 7:06,30/11/20 7:37,1900,30/11/20 7:38,I will provide my best answers.,193.949,193.949,195.339,1,Chrome,87.0.4280.66,Windows NT 10.0,1920x1080,Android,NA,Yes,NA,Spouse,NA,NA,Children older than 13,Other family members,NA,NA,NA,NA,NA,1 to 9,Once in about 1 hour,NA,Always,0,20,0,0,0,NA,Few times a day,Never,Never,Never,Never,Never,Never,Never,Never,NA,Few times a week,N/A,N/A,Few times a week,Less than once a week,Never,Never,NA,NA,NA,Close running applications,Clear notifications,NA,NA,NA,Watch over the other person's use of the phone,NA,NA,NA,Always,N/A,N/A,Always,Always,N/A,N/A,Facebook Messenger,NA,Notification drawer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,Read the notification preview (title),Read the notification content,NA,NA,Opened the relevant app to address the notification,NA,NA,NA,NA,NA,Completely unconcerned,NA,Yes,NA,Somewhat unconcerned,3-5,I was receiving way too many notifications from one app. It was distracting me from my wotk.,NA,NA,I forgot to take appropriate actions to silence the notification.,NA,NA,NA,NA,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,N/A,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,N/A,NA,NA,NA,NA,NA,Banking and payments,NA,NA,NA,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Disagree,1982,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Some college,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Production supervisor,NA,"$30,000 to $39,999",More than 10 or All my life,5,Married,NA,Not at this time,Translate,NA,Somewhat agree
188,30/11/20 8:22,30/11/20 8:56,2094,30/11/20 8:56,I will provide my best answers.,4.577,4.577,11.885,1,Chrome,87.0.4280.66,Windows NT 6.1,1366x768,Android,NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 or more,Once in about 3 hours,NA,About half the time,2,1,0,0,5,NA,Few times a week,Few times a month,Never,Few times a month,Few times a week,Few times a week,Never,Few times a month,Never,NA,Multiple times a day,Once a day,Few times a day,Multiple times a week,Once a day,Few times a week,Never,NA,NA,NA,NA,NA,NA,Enable app locks,Change accessibility settings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whatsapp,Lock Screen,NA,Floating notification,App Badge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 30 minutes,NA,Read the notification preview (title),Read the notification content,Cleared it from the phone lock screen,Cleared it from the notification center/drawer,Opened the relevant app to address the notification,NA,NA,NA,NA,NA,Extremely concerned,NA,No,NA,NA,3-5,"I got the notification from the social media app. The announcement came when I handed over my phone to my brother. Content unrelated to declare that application. I have never been before, do not subscribe. My family members are around me and they question me. I can’t bear that experience now. Increased loneliness is the negative effect I feel in my life.
",I had given my phone to another person when the notification arrived.,NA,NA,NA,NA,NA,NA,NA,Somwhat concerned,Extremely concerned,N/A,N/A,Neither concerned nor unconcerned,Somwhat concerned,Neither concerned nor unconcerned,"When they had my phone in hand. They check all notifications.
",Somwhat concerned,N/A,N/A,Neither concerned nor unconcerned,Somwhat unconcerned,Somwhat concerned,Somwhat concerned,NA,NA,Social media,NA,E-mail,Banking and payments,NA,Dating,Apps for work,NA,NA,Hide All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Rather agree,Rather disagree,Rather agree,Rather agree,Agree,1970,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,NA,Employed part-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT,NA,"$70,000 to $79,999",More than 10 or All my life,4,Married,NA,None,Translate,NA,Somewhat agree
